N°,Dénomination,N° RCCM,Activités,Adresses,Type
1,14 FEVRIER,RB/COT 13 B 9578,"IMPORTATION DE PRODUITS  AGROALIMENTAIRES-TEXTILES-MATERIAUX DE  CONSTRUCTION-MATERIELS ELECTRIQUES-LA  QUINCAILLERIE-","QUARTIER DANTOKPA ILOT 531-  03 BP 3727 TEL 97035245",PM
2,2 AO & FILS,"RB/COO/12 B9186  DU220812","COMMERCE : Transports routiers de marchandises - toutes opérations pouvant concerner l'achat, la  vente, l'importation, l'exportation, l'emmagasinage, le  warrantage et le transport de tous produits ,  marchandises.","COTONOU : Kpondéhou 1 - ilot  462 bis - tél : 97272440",PM
3,"2A.S HOUNTONDJI ET  FILS",RB/COT/13 A 16754,"VENTE DE MATERIELS ELECTRIQUES ET  ELECTRONIQUES - PRESSING - DIVERSES  PRESTATIONS DE SERVICES.","QTIER: VEDOKO - ILOT: 1448 -  TEL: 95 46 95 19/ 97 80 01 52",PP
4,2AE HOUSE,"RB/COT/13A17796DU2308 13","COMMERCE : Achat et vente de matériels  d'électricité - vente de matériels électriques - BTP -  matériels et consommables informatiques -  bureautiques - génie civil","COTONOU : Kouhounou - ilot 2226  - parcelle G - Tél : 97966691",PP
5,2B PRESTATIONS,RB/COT/13 A 17292,"BTP - ASSAINISSEMENT - IMPRIMERIE -  POISSONNERIE - COMMERCE GENERAL ET  DIVERSES PRESTATIONS","QTIER: AGONTINKON - ILOT:  1116 - TEL: 95 95 69 73",PP
6,2EME LIEU,RB/COT/13 A 16565,"BARS - CAFES ET AUTRES DEBITS DE  BOISSONS - RESTAURATION - VENTE DE  PRODUITS D'ENTRETIEN","QTIER: FIFADJI - ILOT: 1915 - 10  BP 1073 - TEL: 97 64 46 52",PP
7,2GMD GROUP,"RB/COT/13B10498  DU130913","COMMERCE : Achat, vente, importation et  exportation de véhicules d'occasion - pneus - pièces  détachées et de motos","COTONOU : Cadjèhoun II - ilot 789  - parcelle A - Tél : 97378362",PM
8,2HF - SERVICES,"RB/COT/13B10302  DU180713","COMMERCE : Importation et exportation de tous  produits - matériels et objets non prohibés  notamment de véhicules automobiles d'occasion -  pneumatiques - pièces détachées pour automobiles  et de matériaux de construction","COTONOU : Fidjrossè Centre - ilot  1691 - parcelle R - Tél : 95860510",PM
9,3 AS TECHNOLOGIES,RB COT 13 A 16471,"ACHAT ET VENTE DE MATERIELS  INFORMATIQUES BUREAUTIQUES- FOURNITURES ET MATERIELS DE BUREAU","QUARTIER SAINT JEAN ILOT 436- E TEL 96748284/66159414",PP
10,3AE,RB/NAT/2013 B 035,"IMPORTATION DE MATERIAUX DE  CONSTRUCTION - MATERIELS ELECTRIQUES -  TOUS TRAVAUX CONSTRUCTION DE RESEAUX  ELECTRIQUES DE BTP ET DE GENIE CIVIL","QTIER: BORIS - YOURE - ILOT:  196 - MAISON HOUNGNIBO -  TEL: 96 99 51 84",PM
1867,SEGIS SERVICES,RB/COT/13 A17533 DU050713,SERVICE : Location de voitures - bâches - plats - service traiteur - commerce général et diversses prestations,COTONOU : Gare routière - ilot 11144 - parcelle A - Tél / 95241160,PP,154 / 177ATTANASSO Coffi S. M. né le 20/01/61 à Allada
"","","",COMMERCE : Achat et vente de produits ,"","",""
1868,SEIDOU ET FILS,RB/COT/13A17739 DU130813,alimentaires et des boissons - achat et vente de produits SOBEBRA - ciments - quincaillerie - produits ,COTONOU : Ayélawadjè - ilot 244 - parcelle S - Tél : 67327173,PP,DJOSSOU A. Hermann né le 15/12/87 à cotonou
"","","",forestiers et de bijoux,"","",""
1869,SELECT,RB/COT/13A 18239 DU131113,COMMERCE : Achat et vente de matériels informatiques - bureautique - consultations - entretien et réparation - vente de tissus - divers ,COTONOU : Gbédagba - ilot 1293 - Tél : 97689999,PP,DAANON Léontine
1870,SEMA ET FILS,RB/COT/13A 18286 DU211113,COMMERCE : Achat et vente de produits alimentaires et des boissons - sachets - vente de céréales et divers - commerce général,COTONOU : Sainte Rita - ilot 1388 -Tél / 97982624,PP,HINVI F F
1871,SEMEAR,RB/COT/13A17892 DU100913,SERVICE : Prestations en tourisme - achat et culture - achat et vente des objets d'arts - matériels informatiques - service traiteur,COTONOU : Cadjèhoun 2 - ilot 1165 - Tél : 67594641,PP,TRAORE Aboubakar
"","","",ACHAT ET VENTE DE PRODUITS ALIMENTAIRES ,"","",""
"","","",ET DES BOISSONS-ACHAT ET VENTE DE ,"","",""
1872,SEMEVODEHOU,RB COT 13 A 16931,BOISSONS SOBEBRA -ACHAT ET VENTE DES ,QUARTIER AGONTINKON ILOT ,PP,""
"","","",PRODUITS COSMETIQUES-COMMERCE ,1270-C TEL 66632551 ,"",""
"","","",GENERAL ET DIVERS.,"","",""
"","","",COMMERCE : Commercialisation de tous produits ,"","",""
1873,SEN SHENG DEVELOPPEMENT,RB/COT/13B9980DU150413,alimentaires - distribution et divers produits agroalimentaires - agropastoraux - importation et ,COTONOU : Ganhi - ilot 69 - parcelle B - Tél : 97670282,PM,Wu Lingen né le 10/09/73 à jiangxi
"","","",vente d'huile végétale - riz - sucres,"","",""
"","","",COMMERCE : Achat et vente de produits ,"","",""
1874,SENA K- RO & FILS,RB/COT/13 A18136DU221013,alimentaires et des boissons - cartes de recharges - poissonnerie - matériels et consommables ,COTONOU: Agla akpolè - ilot 1 - parcelle P - Tél : 97588725,PP,TCHAKPA C Sèna 
"","","",informatiques ,"","",""
"","","",EXPLOITATION FORESTIERE-FOURNITURE DE ,"","",""
1875,SENI-TOURE,RB COT 13 A 17254,BUREAU-INFORMATIQUE-BTP-COMMERCE ,QUARTIER WOLOGUEDE ILOT ,"",""
"","","",GENERAL ET DIVERS,712-J TEL 95056009,PP,""
"","","",Achat et vente de matériels informatiques et ,"","",""
1876,SERENITY,RB/COT/13A17432DU19/06/13,bureautique-commerce général-fourniture de bureau-matériel et mobilier de bureau-maintenance informatique-location de véhicule-entretien de bureau ,"Agla C/8 ,08 BP 0600 Tél:94180818",PP,YENOUSSI Elodie née le18/12/1988
"","","",et espace vert et divers,"","",""
"","","",ACHAT ET VENTE DE FOURNITURES DE ,"","",""
"","","",BUREAU LIBRAIRIE ET PAPETERIE - BTP - ,QTIER: MENONTIN - ILOT: 2071 - ,"",""
1877,SERO DYNAMIQUE,RB/COT/13 A 17091,LOCATION DE VEHICULES - IMPRIMERIE - ,BP 189 GODOMEY - ,PP,SEBOKA ROMAIN
"","","",COMMERCE GENERAL ET DIVERSES ,TEL: 97 55 20 88,"",""
"","","",PRESTATIONS.,"","",""
1878,SERVICE TRAITEUR GUSTAR & DIVERS,RB/COT/13A17950DU180913,COMMERCE : Achat de produits alimentaires et boissons - évènementiel - service traiteur - commerce général,COTONOU : Kpondéhou 1 - ilot 416 - Tél  : 95424111,PP,SOUMAHO M A S
"","","",CONSEILS EN COMMUNICATION ET EN ,"","",""
1879,SERVICE6CONSEILS,RB/COT/13 A 16932,MARKETING - FORMATION - CONSOMMABLES INFORMATIQUES ET DIVERSES PRESTATIONS ,QTIER: SIKECODJI - ILOT: 842 - TEL/ 95 70 31 88/ 97 16 25 78,PP,QUENUM JEANNOT GAÊL 
"","","",DE SERVICES.,"","",""
"","","",ACTIVITES DE CHANGE - WESTERN UNION - ,"","",155 / 177
1880,SERVICES AND TRADING,RB/COT/13 A 17033,COMMERCE GENERAL ET DIVERSES PRESTATIONS DE SERVICES.,QTIER: KPANKPAN - ILOT: 585 - 02 BP 759 - TEL: 94 65 06 76,PP,KLOTOE HOUNYE
"","","",COMMERCE : Achat et vente de matériaux de ,"","",""
1881,SERVICES MAXIMA (SERMAX),RB/COT/13 A17523 DU030713,construction - quincaillerie - peinture et articles - bâtiments et travaux publics - commerce général et ,COTONOU : Lom nava - ilot 326 - tél : 66831882,PP,ISSIFOU Raouf né le 10/03/92 à parakou
"","","",diverses prestations de services,"","",""
"","","",SERVICE : Bâtiments et travaux publics - ,"","",""
1882,SERVICES TECHNIQUES DU BATIMENT EXPERTS ,RB/COT/13 A17657 DU290713,assainissement - BTP - études en travaux publics - électricité et froid - énergies renouvelables - ,COTONOU : Missessin - ilot 163 - parcelle E - Tél : 97212777,PP,DAZAN Jean F. A. né le 01/01/66 à hounhoueko-
"","","",exploitation de carrières de sable et de graviers,"","",honvié
1883,SESSOMISSOU ET FILS CCGD,RB/COT/13 A 17972 DU24091,COMMERCE : Achat et vente de vêtements - prêt à porter - effets vestimentaires - textiles - BTP - quincaillerie - bureautique - commerce général ,COTONOU : Dantokpa - ilot 56 - parcelle A - Tél : 97654646,PP,CHODATON C G D 
"","","",ACTIVITES COMPTABLES ET D'AUDIT - CONSEIL ,"","",""
1884,SETI GROUP,RB/COT/13 A 17046,FISCAL - LAVAGES DE VOITURES - COMMERCE ,QTIER: AÎDJEDO - ILOT: 836 - 01 ,"",PRUDENCIO CARMEL 
"","","",GENERAL - DIVERS.,BP 7331 - TEL: 97 25 07 67,PP,RIVELINO WILFRID
"","","",BTP-ALIMENTATION GENERALE-ACHAT ET ,"","",""
"","","",VENTE DE PRODUITS TROPICAUX ET ,"","",""
"","","",FORESTIERS-ACHAT ET VENTE DE PIECES DE ,QUARTIER FIYEGNON 1 ILOT ,"",""
1885,SETONDJI ET FILS,RB COT 13 A 16273,RECHANGE -ACHAT ET VENTE DE MATERIAUX ,1785 - H  TEL 97.41.74.13 04 BP ,PP,AMOUSSOU SETONDJI 
"","","",DE CONSTRUCTION-MATERIELS ,1480,"",EDGARD TEL 97.41.74.13
"","","",INFORMATIQUES BUREAUTIQUES-DIVERSES ,"","",""
"","","",PRESTATIONS DE SERVICES.,"","",""
"","","",COMMERCE : Achat et vente de fournitures de ,"","",""
1886,SEUL & UNIK,RB/COT/13A17798DU230813,bureau - librairie et papeterie - entretien général - BTP - assainissement - service traiteur - commerce ,COTONOU : Agbodjèdo - ilot 1058 - parcelle H - Tél : 97133335,PP,SESSOU Innocent S. né le 16/03/83 à sessouhoué-
"","","",général et diverses prestations de services ,"","",aplahoué 
1887,SEVEN CLASH ,RB/COT/13 A17447 DU200613,"COMMERCE : Bars, Cafés et autres débits de boissons - bar climatisé - commerce général",COTONOU : Cadjèhoun - ilot 1196 -parcelle H - Tél : 67000617/95419527,PP,NADORH Assiongbon né le 15/06/83 à Hahotoe 
"","","",TOUTES ACTIVITES - ELEVAGE ET VENTE DES ,"","",""
1888,SEWA ET FILS ,RB/COT/13 A 16763,PONDEUSES ET DES OEUFS - COMMERCE GENERAL ET DIVERSES PRESTATIONS DE ,QTIER: GBEGAMEY - ILOT: 11-A - 03 BP 1614 - TEL: 95 36 81 72,PP,SEWA THEOPHILE COMLAN XAVIER
"","","",SERVICES.,"","",""
"","","",ACHAT ET VENTE DE MATERIELS ,"","",""
"","","",INFORMATIQUES BUREAUTIQUES-,"","",""
1889,SEWEDO,RB/COT/13 A 16317,ASSAINISSEMENT-FOURNITURES ET MOBILIERS ,QUARTIER FIDJROSSE CENTRE ,PP,ADJAKA COMLAN MARC 
"","","",DE BUREAU-BTP-COMMERCE GENERAL ET ,1672-E  TEL 97691415,"",TEL 97691415
"","","",DIVERS,"","",""
1890,"SHALOM ""LE CREDO""",RB/COT/13 A 18117DU211013,SERVICE : Location de voitures - achat et vente de véhicules - cyber - centre de jeux - maintenance informatique ,COTONOU : Zogbohouè - ilot 1975 - parcelle X - Tél : 97091550,PP,AGUIYA A M
1891,SHALOM SHOP,RB/COT/13 A 16561,"ACHAT ET VENTE DE TISSU WAX ET AUTRES - VENTE DE TISSUS WAX HOLLANDAIS - VLISCO - TEXTILES ET EFFETS VESTIMENTAIRES - MAROQUINERIE - MATERIELS INFORMATIQUES BUREAUTIQUES.","QTIER: JERICHO 2 - ILOT: 658 - 10 BP 927 6 TEL: 96 25 82 44",PP
1892,"SHANGHAI AGROCHINA INTERNATIONAL TRADE CO - BENIN","RB/COT/13B 10637DU241013","COMMERCE : Importation et exportation de tous produits - fabrication - production - distribution d'intrants agricoles - pesticides - fertilisants - matériels agricoles","COTONOU : Gbégamey - ilot 923 - parcelle B - Tél : 96475555",PM
1893,SHANIKE,"RB/COT/13A17906DU110913","COMMERCE : Achat et vente de fournitures de bureau - librairie et papeterie - matériels de bureau - informatiques - électriques et accessoires","COTONOU : Yénawa - ilot 4337 - parcelle D - Tél : 97394589",PP
1894,SHEFIS ET FRERES,RB/COT/13 B 10128,"IMPORTATION ET VENTE DE VEHICULES AUTOMOBILES - DE CAMIONS D'OCCASION ET PNEUMATIQUES - IMPORTATION DE TISSUS - TEXTILES","QTIER: TANTO - ILOT: 637 - 01 BP 7800 - TEL: 97 12 92 62",PM
1895,SHIANTI,"RB/COT/13A 18305DU271113","COMMERCE : Achat et vente de produits alimentaires et des boissons - commerce général et divers","COTONOU : Cadjèhoun kpota - ilot 1064 - Tél : 98619551",PP
1896,SHILLO & SHALOOM,RB/COT/13 A 16553,"ACHAT ET VENTE DE MATERIELS INFORMATIQUES BUREAUTIQUE - BATIMENTS TRAVAUX PUBLICS.","QTIER: FIFADJI - ILOT: 1842 - TEL: 66 53 74 02",PP
1897,SHILO,"RB/COT/13A17853DU030913","SERVICE : Maintenance de matériels informatiques et d'équipements de bureau - gestion documentaire - BTP - commerce général","COTONOU : Adogléta - ilot 498 - Tél : 97771786",PP
1898,SHIV KIRPA,"RB/COT/13 A17666 DU300713","COMMERCE : Achat et vente de textiles - vente de produits alimentaires - appareils électroménagers - ustensiles de ménage etc...","COTONOU : Missèbo - ilot 64 - parcelle V - Tél : 97970561",PP
1899,SHIVIN AGRI SOLUTIONS,"RB/COT/13 B10417DU220813","SERVICE : Ingénierie agricole - culture intensive de tous produits vivriers (riz, mais, soja) - importation de riz, huile, sucre, et autres denrées","COTONOU : Aîdjèdo - ilot 819 - parcelle A - Tél : 92150000",PM
1900,SHOLA - GROUP,"RB/COT/13A 18202DU051113","COMMERCE : Achat et vente de matériels informatiques - bureautique - consommables informatiques et électroniques - maintenance et entretien de matériels","COTONOU : Adjégounlè - ilot 217 - parcelle T - Tél : 97629900",PP
1901,"SHOWROOM JB-HOUNYOVI","RB/COT/13A17890DU090913","COMMERCE : Achat et vente de textile et d'effets vestimentaires","COTONOU : Cadjèhoun - ilot 1155 -parcelle C - Tél : 95 404 142",PP
1902,SHYK ARTS,RB COT 13 A 17160,"CREATION D'OBJETS D'ARTS-GESTION IMMOBILIERE ET AUTRES PRESTATIONS DE SERVICES-COMMERCE GENERAL.","QUARTIER HOUEYIHO ILOT 1349Q 02 BP 8010 TEL 95617831",PP
"","","",COMMERCE : Achat et vente de textile et d'effets ,"","",157 / 177
1904,SIF,RB/COT/13A 18275 DU201113,vestimentaires - produits alimentaires et boissons - restauration - service traiteur - fournitures et ,COTONOU : Dantokpa - ilot APT - parcelle 401 - Tél / 95287680,PP,SEHLOUAN ELLA IRICE
"","","",matériels bureautiques,"","",""
"","","",SERVICE : Maintenance de matériels informatiques ,"","",""
1905,SIGMA TECHNOLOGY,RB/COT/13 A17498 DU020713,et d'équipements de bureau - maintenance électronique - câblage de chaînes numériques et ,COTONOU : Vèdoko - ilot 1508 - parcelle L - Tél : 97641933,PP,ZODJIHOUE Félix K. né le 10/02/74 à bopa
"","","",analogiques - réseau informatique,"","",""
"","","",ACHAT ET VENTE DE FOURNITURES DE ,"","",""
"","","",BUREAU ET PAPETERIE - ACHAT ET VENTE ,QTIER: AGONTINKON - ILOT: ,"",""
1906,SIGMA-DIFFUSION BENIN,RB/COT/13 A 16560,D'EQUIPEMENTS DE BUREAU - DE MATERIELS ,1108 - 02 BP 1062 - TEL: 95 34 86 ,PP,VIGNISSI ROSELINE 
"","","",ET CONSOMMABLES INFORMATIQUES ET DE ,24,"",ABLAVI ELLENITA
"","","",CARTES TELEPHONIQUES DE RECHARGE,"","",""
"","","",ACHAT ET VENTE DE PRODUITS FORESTIERS ,"","",""
1907,SIGNON,RB COT 13 A 16923,ET DE PRODUITS VIVRIERS ET DE CEREALES-,QUARTIER FIDJROSSE ILOT ,PP,""
"","","",COMMERCE GENERAL ET DIVERS,1785 TEL 97883166,"",""
"","","",COMMERCE : importation de véhicules d'occasions - ,"","",""
1908,SIK & FILS,RB/PN 2013 B009DU040113,pneumatiques - pièces détachées - mercerie - matériels informatiques ,PORTO NOVO : Guévié - sabako - ilot 258 - Tél : 64070808,PM,TOUKOUROU SIKIROU 
"","","",COMMERCE : Importation et exportation - BTP - ,"","",""
1909,SIKIROU CHALAH,RB/PK/13 B19DU090913,Génie civil - industrie - achat et vente de produits ,PARAKOU : ALBARIKA - ILOT 898 ,PM,CHALAH SIKIROU
"","","",tropicaux et forestiers - transport,- PARCELLE P - TEL : 97763216,"",""
1910,SILOT,RB/COT/13 A 16848,AUBERGE - COMMERCE GENRAL SOUS TOUTES SES FORMES ET DIVERS.,QTIER: ZONGO - ILOT: 121 - TEL: 97 26 11 49,PP,TOGBE LOUISE
1911,SILVITOS,RB/COT/13A17937 DU020913,COMMERCE : Achat et vente de produits alimentaires et des boissons - commerce général - vente de textiles - dépot SOBEBRA,COTONOU : Missèbo - ilot 198 - parcelle G - Tél : 97 244 223,PP,TOSSA Bernice G.
1912,SIMABE,RB/COT/13 B10275 DU150713,COMMERCE : Commerce général - produits alimentaires - matériaux de construction - immobilier - import export - vente de tissus,COTONOU : Agontinkon - ilot 1143 - parcelle N - Tél : 21308409,PM,GOMA Marie Berthe née le 27/03/60 à Ngabe 
"","","",COMMERCE : Importation et vente de véhicules ,PORTO NOVO : SEME KPODJI - ,"",""
1913,SIMONA COMPANY,RB/PN/13 B 383 DU120913,automobiles d'occasion ou neufs - pièces de ,Kpakpakanmè - ilot 88 - parcelle N - ,PM,SIDIK M Nassirou
"","","",rechange auto moto - pneus d'occasion,Tél : 65202727,"",""
1914,SIMONIA SHOP,RB/COT/13A17872DU050913,COMMERCE : Achat et vente de textiles - cartes de recharge - téléphones portables - cartes sim GSM - motos et pièces détachées ,COTONOU : Missèbo - ilot 105 - parcelle M/de SOUZA - Tél : 97804044,PP,de souza simonia S.
1915,SIRTEL SEARCH,RB/COT/13 A18101DU171013,COMMERCE : toutes activités d'achat et vente de consommables informatiques - télécommunications - électricité générale - génie civil,COTONOU : Fidjrossè kpota - ilot 3846 - Tél : 96615583,PP,ADJOVI K D 
1916,SK AGBANYIN & FILS,RB/COT/13 B10618 DU211013,COMMERCE : Commerce général - Importation et exportation de pneumatique - importation et la vente de véhicules - pièces et pneumatiques d'occasion ,COTONOU : Zongo - ilot 341 - parcelle X - Tél : 97998963,PM,AKADIRI S
"","","",SERVICE : BTP - Assainissement - services ,"","",""
1917,SKYMINDCORP,RB/COT/13A 18124DU221013,immobiliers - services professionnels aux entreprises - commerce de matériels technologiques et de ,COTONOU : Vèdoko  - ilot 1416 - Tél : 21154360,PP,HOUNYONOU F G R K 
"","","",logiciels ,"","",""
1918,SM2A,RB/COT/13 A17659 DU290713, SERVICE : Location de voitures - patisserie - commerce général,COTONOU : Gbèdagba - ilot 1324 - parcelle F - Tél : 90294040,PP,DADA-AMOS A1r5a8b /e ll1e7 7O. Y.N. née le 15/01/90 à cotonou
"","","",COMMERCE : Importation des produits tropicaux - ,"","",""
1919,SMWC WATCHERS ,RB/COT/13B10316DU240713,forestiers - véhicules d'occasions ou neufs et de pièces détachées - restauration - débit de boissons - ,COTONOU : Suru Léré - ilot 4469 - parcelle N - Tél : 97114504,PM,HOUANSOU A. Basile né le02/01/88 à porto novo
"","","",transit - tourisme - bâtiments travaux publics ,"","",""
"","","",ACHAT ET VENTE DE PRODUITS COSMETIQUES ,"","",""
1920,SO CHIC,RB/COT/13 A 17273,ET PARFUMERIE - EFFETS VESTIMENTAIRES - ,QTIER: MIFONGOU - ILOT: 332 - ,PP,AMOUSSA MOHAMED 
"","","",COMMERCE GENERAL ET DIVERS,01 BP 4021 - TEL: 96 29 82 82,"",RAYANN
"",SOCIETE AFRICAINE DE ,"","","","",""
"",CONSTRUCTION ,"","","","",""
1921,BATIMENT DE ,RB/COT/13 A 16285,BTP -INFORMATIQUE-ENERGIE -COMMERCE ,QUARTIER FIDJROSSE ILOT ,PP,DJEBOU TEL 97095844
"",L'INFORMATION ET DE ,"",GENERAL ET DIVERS,1678- BP 4472 TEL 97095844,"",""
"",L'ENERGIE,"","","","",""
"",SOCIETE AFRICAINE ,"",Importation et exportation de produits agro-,"","",""
1922,D'IMPORTATION DES PRODUITS AGRO ,RB/COT/13B10195DU17/06/13,alimentaires et de pêches-la production de denrées agricoles et de denrées alimentaires-importation et ,Gbèdjromèdé C/2181  Parcelle M Tél:95771737,PM,YAVO Placide Kano né le 11/01/1974 à Ehouéguié
"",ALIMENTAIRES,"",exportation de produits agricoles-produits vivriers,"","",""
1923,"SOCIETE BENINOISE DE PLASTIQUES 'SOBEP""",RBB/PN 12 B 634 DU210612,COMMERCE : Importation d'équipements de fabrication de chaussures en plastiques - transformation de plastiques ,PORTO NOVO : SEME KPODJI - ILOT TF 696 - TEL : 97644290,PM,AMOUSSA A K
"",SOCIETE BENINOISE ,"","","","",""
1924,D'EXPLOITATION DES ENERGIES ,RB/COT/13 B 9649,L'IMPORTATION-L'EXPORTATION  ET LA PRODUCTION DE COMPOSANTS INDUSTRIELS ,QUARTIER GBENAN ILOT 424 03 ,PM,""
"",RENOUVELABLES,"",EN LIEN AVEC L'OBJET SOCIAL-,BP 749 TEL 21333191,"",""
"","","",COMMERCE : Exploitation et la gestion de ,"","",""
1925,SOCIETE CIVILE IMMOBILIERE-L'ELITE,RB/COT/12 D 63DU010312,"complexes immobiliers - édification de toutes constructions immobilières - construction de tous immeubles à usage commercial, professionnel ou ",COTONOU : Sègbèya - ilot 266 - parcelle B -  Tél : 95969428,PM,AJAVON Sébastien G Marie A
"","","",mixte ,"","",""
1926,SOCIETE COMMERCIALE DE PRODUITS ,RB/COT/13B 10652 ,COMMERCE : Importation - vente et distribution ,COTONOU : AÏDJEDO  2 - ILOT ,"",""
"",AGRICOLES,DU251013,d'intrant agricole et phytosanitaires - importation et fabrication des équipements agricoles ,887 - PARCELLE A - TEL : 97815746,PM,YESSOUFOU A R C
"",SOCIETE DE BEGOCE ,"",ACHAT ET VENTE DE PRODUITS ALIMENTAIRES ,QTIER: HOUNGODE - ILOT: C/SB -,"",""
1927,DES PRODUITS AGRO-,RB/ODH/2012 B 129,ET DES BOISSONS - PRODUITS AVICOLES - ,"02 BP 8033, MAISON ACODI - ",PM,ACODJI VODOUNHE 
"",ALIMENTAIRES ,"",PISCICOLES,TEL: 21 35 20 38,"",PAMPHILE
"",SOCIETE DE ,"","","","",""
"",COMMERCIALISATION ,"",COMMERCE : Commerce général - import et export - ,"","",""
1928,BENINOISE DE PRODUITS ,RB/COT/13B 10578DU071013,achat et vente - warrantage - transport de tous produits -produits alimentaries - diverses ,COTONOU : Tokpa xoxo - ilot 38 - parcelle A - Tél : 93984949,PM,LEBA Comlan 
"",ALIMENTAIRES ET ,"",marchandises ,"","",""
"",TROPICAUX ,"","","","",""
"","","","","","",159 / 177
"",SOCIETE DE ,"","","","",""
1929,COMMUNICATION ET DE ,RB COT07 B 1714 (06.B ,IMPORTATION DE VEHICULES D'OCCASION-VENTE DE PIECES DETACHEES -PNEUS  OU ,QUARTIER DOTA ILOT 69-C BP ,PM,""
"",TRANSACTION DU BENIN,11),NEUFS-PRESTATIONS DE SERVICES,399 GODOMEY TEL ,"",""
1930,"SOCIETE DE COURTAGE, DE TRANSIT ET DE ",RB/COT/13B10407DU2503,SERVICE : Transit- consignation - courtage - frêt - ,COTONOU : Sègbèya - ilot 4266 - ,"",AJAVON Sébastien 
"",CONSIGNATION,19,magasinage - warrantage ,parcelle B - Tél : 20240242,PM,Germain Marie A. né le 19/01/65 à cotonou
"","","",LA SOCIETE A POUR OBJET TOUTES ,"","",""
"",SOCIETE DE ,"",OPERATIONS GENERALEMENT QUELCONQUES ,"","",""
1931,DISTRIBUTION ,RB/ABC/13 B 58,POUVANT CONCERNER DIRECTEMENT OU ,QTIER: AGORI - ILOT: C/SB - TEL: ,"",AGBETE SEPHANIA 
"",AFRICAINE,"",INDIRECTEMENT L'ACHAT - LA VENTE - ,97 76 05 80/ 68 68 48 82,PM,FIFAME CORNELLIA
"","","",L'ECHANGE - L'IMPORTATION - L'EXPORTATION,"","",""
"",SOCIETE DE ,"",COMMERCE : Achat et vente - échange - ,"","",""
1932,DISTRIBUTION ET DE COMMERCE ,RB/COT/13B10405DU190813,importation et exportation - emmagasinage - warrantage - transport de tous produits - ,COTONOU : Sedjro - ilot 178 - parcelle G - Tél : 97681860,PM,ARIORY M. M. né le 150266 à cotonou
"",INTERNATIONAL,"",marchandises - denrées et objets de toute nature,"","",""
"",SOCIETE DE ,"",SERVICE : Fabrication - production - ,"","",""
1933,TRANSFORMATION ,RB/ABC/13B 125DU260613,conditionnement - vente - importation et exportation ,ABOMEY CALAVI : Gbétago - ilot ,"",""
"",INDUSTRIELLE DU BENIN,"",de tous produits laitiers - jus de fruits - dérivés de la tomate ,CSB - Tél : 66819636,PM,SAAD Mohamad
"",SOCIETE D'INGENIERIE ,"","","","",""
1934,CONSTRUCTION EQUIPEMENT ET ,RB/COT/08B3272 DU200608,COMMERCE : Importation de matériaux de construction - Etude - négociation - marketing - ,COTONOU : Kindonou - ilot 2174 - ,PM,HOMEKY Selbourne O. né 
"",RAVITALLEMENT,"",informatique - représentation commerciale ,parelle D - Tél : 95960332,"",le 31/07/81 à cotonou
"",SOCIETE ,"",COMMERCE : Importation et exportation de ,"","",""
1935,INTERNATIONALE DE COMMERCE ET DE ,RB/COT/13B10368DU060813,véhicules d'occasion - pièces détachées - pneumatique - appareils électriques - électroniques - ,COTONOU : Houénoussou - ilot 1352 - Tél : 96552864,PM,MADEGNAN Armand né le 09/03/80 à lanta
"",PRODUCTION AGRICOLE,"",électroménagers,"","",""
"","","",COMMERCE : Importation de produits ,"","",""
"",SOCIETE MULTI-,"",pharmaceutiques et appareils médicaux - La ,"","",""
1936,BRANCHES D'ACTIVITES ,RB/COT/12 B9045 DU ,promotion - la prospection - l'importation de produits ,COTONOU : Lom-Nava - Ilot 326 - ,"",BOKO Mathieu né le 
"",ET DE SERVICES,060712,pharmaceutiques - d'équipements - de consommables et de matériaux médicaux. Diverses ,parcelle Y- Tél : 97095803,PM,01/01/1949 à Cotonou
"","","",prestations de services ,"","",""
1937,SOCIETE OUEST AFRICAINE DE ,RB/COT/13 A17660 ,SERVICE : Location de voitures - distribution d'emballages agroalimentaires - commerce général  ,COTONOU : Tokpégbé - ilot 75 - ,PP,ALABI Nounagnon A. R. né 
"",DISTRIBUTION,DU290713,et diverses prestations de services,parcelle J - Tél : 97325219,"",le 19/07/79 à porto novo
"",SOCIETE POUR LE ,"",COMMERCE : Importation et vente de véhicules ,"","",""
1938,COMMERCE GENERAL ,RB/ABC/13 B105DU110613,automobiles de camions d'occasion ou neuf et ,ABOMEY CALAVI : Godomey ,"",IDOHOU Jules né le 
"",ET LES SERVICES ,"",pneumatiques - pièces détachées - importation et export de produits alimentaires,Salamey - CSB - Tél / 97604480,PM,23/11/77 à Cotonou
"","","","","","",160 / 177
"","","",COMMERCE : Exploitation d'une officine en vue de ,"","",""
1939,SOCIETE VETERINAIRE DU BENIN ,RB/COT/13 B9857 DU110313,la vente des produits vétérinaires ainsi que l'exercice des activités de vétérinaires et activités connexes et similaires - importation de tous produits nécessaires ,COTONOU : Tanto - ilot 645 - parcelle E - Tél : 95847659,PM,GANSINHOUNDE Hippolite né le 13/08/64 à cotonou
"","","",à la santé et le suivi des animaux,"","",""
1940,SODIPRES,RB/COT/13 A18146 DU241013,SERVICE : Toutes activité de distribution et de communication - imprimerie - BTP - Traduction - entretien bâtiments et espaces verts,COTONOU : Ste Cécile - ilot 1218 - Tél : 97097289,PP,LANHA Fernard 
