N°,N° RCCM,Dénomination,Activités,Adresses,Type
1,"RB/PN/13 A 321  DU02/05/13","""NORA"" FASHION","COMMERCE: ACHAT ET VENTE DE  CHAUSSURES - SACS - TEXTILES - MERCERIE -  BIJOUX - PRODUITS COSMETIQUES -  BUREAUTIQUE - QUINCAILLERIE - PIECES","Porto-Novo Dodji LOT/ 2180-f TEL/ 97 07  82 06",PP
2,"RB/PN/13 A 462  DU25/07/13",2AK ET FILS,"COMMERCE: BUREAUTIQUE - BTP -  QUINCAILLERIE - ENTRETIEN DES LOCAUX -  LOCATION DE BACHES - SONORISATION  DIVERS - TRAVAUX D'IMPRIMERIE - BAR-","Adjarra Malanhoui M/SON KAKAHOUN  TEL/ 97 37 49 40",PP
3,"RB/PN/13 A 685  DU04/12/13",2H ET FILS,"COMMERCE: ACHAT ET VENTE DE  FOURNITURES DE BUREAU - MATERIELS ET  EQUIPEMENTS DE TOUS GENRES -  CONSOMMABLES INFORMATIQUES -","Porto-Novo Djègan-Kpèvi ZIP/3-232-M  TEL/97 83 66 61",PP
4,"RB/PN/13 A 491  DU22/08/13",2H HODONOU ET FILS,"COMMERCE: DEPOT DE VENTE DE PRODUITS  SOBEBRA - DEPOT DE VENTE DE CIMENT -  QUINCAILLERIE GENERALE - COMMERCE  GNERAL ET DIVERS","Sèmè-Kpodji Ekpè1 M/SON SAGBOHAN  TEL/ 97 47 32 82",PP
5,"RB/PN/13 A 513  DU30/08/13",2KC ET FILS,"INDUSTRIE: BTP - PRODUITS TROPICAUX -  AGRICOLES - FORESTIERS - BUREAUTIQUE -  INFORMATIQUE - TOUTES PRESTATIONS DE  SERVICES - EVENEMENTIEL - COMMUNICATION","Porto-Novo Ouando ZIP/ 3-267-H TEL/ 97  84 59 31",PP
6,"RB/PN/13 A 323  DU02/05/13",5EME AVENUE,"COMMERCE: CAFETERIA - SERVICE TRAITEUR - MAROQUINERIE - BIJOUX - ARTICLES  VESTIMENTAIRES - BUREAUTIQUE - DIVERSES  PRESTATIONS - EXPLOITATION ET","Porto-Novo Djassin ZIP/ 1-102-AH 01 BP  1904 P/N TEL/ 96 91 98 01",PP
7,"RB/PN/13 A 315  DU25/04/13",A B C-DEGNON,"COMMERCE: ACHAT ET VENTE DE  FOURNITURES DE BUREAU - LIBRAIRIE -  PAPETERIE - RESTAURATION - SERVICE  TRAITEUR - PATISSERIE - BOULANGERIE -","Porto-Novo Lokossa LOT/ 1956-f TEL/ 97  09 84 36",PP
8,RB/PN/ 13 A 232,A S B,"TRANSIT - PRODUITS TROPICAUX -  FORESTIERS - AGRICOLES - BTP -  PRESTATIONS DE SERVICES - FOURNITURES  DE BUREAU ET SCOLAIRES - INFORMATIQUE -","Tokpota I P/N LOT/ 385-A TEL/ 95 28 02  08",PP
"",RB/PN/13 A 640 DU07/11/13,OUS & FILS,DE CONSTRUCTION - QUINCAILLERIE - PEINTURES ET ARTICLES - ACHAT ET VENTE ,Sèmè-Kpodji Ekpè3 LOT/ 11793 M/SON SOULEY Ousmane TEL/ 97 88 08 97,PP,SOULEY Ousmane
542,"","",DE PIECES DETACHEES - PNEUMATIQUE - ,"","",""
"","","",ACHAT ET VENTE DE BIJOUX - PRODUITS ,"","",""
"",RB/ PN/ 13 A 262,P.A.O ET FILS,COSMETIQUES - TEXTILES - MAROQUINERIE - ,Aïmlonfidé P/N ZIP/ 2-320-A TEL/ 66 85 57 31,PP,PARAÏSO Aminatou Olaitan
543,"","",COMMERCE GENERAL ET DIVERS,"","",""
"","","",ASSAINISSEMENT - VOIRIE ET GESTION DES ,"","",""
"",RB/PN/ 13 A 256,PAPI ET FILS,DECHETS - ACHAT ET VENTE DES BATTERIES ,Avakpa-Tokpa P/N LOT: 44bis-e TEL/ 97 ,PP,de SOUZA Parfait
"","","",NEUVES - VULCANISATION - ENTRETIEN - ,60 82 30 / 98 25 11 08,"",""
544,"","",CHARGE BATTERIES - PNEUMATIQUE - ,"","",""
"","","",COMMERCE: ACHAT ET VENTE DE MATERIELS ,"","",""
"",RB/PN/13 A 363 DU27/05/13,PAREGAL,ELECTRIQUES - PRODUITS ALIMENTAIRES - TRANSPORT - PRESTATIONS DE SERVICES - ,Sèmè-Kpodji Lokokoukoumè LOT/ 169-L TEL/ 97 44 44 35,PP,ISSA BIO Ibouraïma 
545,"","",COMMERCE GENERAL ET DIVERS,"","",""
"","","",IMPORTATION DE VEHICULES AUTOMOBILES ,"","",""
"",RB/ PN/ 13 B 243,PARIS-DAKAR FILS,D'OCCASION - PIECES DE RECHANGES ET D'ACCESSOIRES AUTOMOBILES NEUFS OU ,Oganla-Gare Porto-Novo LOT/ 986-H TEL/ 97 87 95 48,PM,YESSOUFOU Rachidi
546,"","",D'OCCASION - PNEUMATIQUE -QUINCAILLERIE - ,"","",""
"","","",INDUSTRIE: BTP - VENTE DE DIVERSES ,"","",""
"",RB/PN/13 A 351 ,"",MARCHANDISES - PRODUITS AGRICOLES - ,"","",""
"",DU21/05/13,PASS,HOTELLERIE - TOURISME - VENTE ET ,Sakété Dagbao C/SB TEL/ 97 29 70 54,PP,MAHUSSI Jacob
547,"","",LOCATION DE VEHICULES - COMMERCE ,"","",""
"","","",COIFFURE - ESTHETIQUE - DECORATION - ,"","",""
"",RB P/N-13-A-163,PAULUX,PRODUITS COSMETIQUES - BIJOUX - ,Oganla P/N ZIP/ 1-112-J TEL/ 97 98 13 ,PP,MARCOLINO Paulette
"","","",RESTAURATION - TEXTILES - EFFETS ,31,"",""
548,"","",VESTIMENTAIRES - MAROQUINERIE - MECHES - ,"","",""
"","","",SERVICE: MARKETING ET COMMUNICATION - ,"","",""
"",RB/PN/13 A 559 DU23/09/13,PEACEBOXCOM,ENTRETIEN - REFECTION DES BATIMENTS - ASSISTANCE JURIDIQUE - COMMERCE ,Porto-Novo Foun-Foun Sodji ZIP/ 1-141-I TEL/ 97 98 68 33,PP,DJAKPO Florian Nicaise
549,"","",GENERAL ET DIVERS,"","",""
"","","",SERVICE: HOTELLERIE - TOURISME - ,"","",""
"",RB/PN/13 A 524 ,"","","","",""
"",DU04/09/13,PETIT A PETIT,QUINCAILLERIE - BTP - PRODUITS FORESTIERS - CIMENT - VULCANISATION ET BATTERIE - ,IFANGNI Tchaada C/SB M/SON KPOKPO TEL/ 97 72 21 50,PP,KPOKPO Wanvo Justin
550,"","",LOCATION DE CHAISES - TABLES ET BACHES - ,"","",""
"","","",COMMERCE: VENTE DE PRODUITS ,"","",""
"",RB/PN/13 A 592 DU10/10/13,PHARMACIE LE PRESTIGE DU PONT,PHARMACEUTIQUES ET PARAPHARMACEUTIQUES - CONSEILS ,Porto-Novo Kpota-Sandodo LOT/33-d TEL/ 96 62 22 27,PP,TAITOU Kazirath Mariette Bimbola
551,"","",OFFICINAUX  - COMMERCE GENERAL ET ,"","",""
"",RB P/N-13-M-157,PHARMACIE REHOBOTH HOUNSA,EXPLOITATION D'UNE OFFICINE DE PHARMACIE - DIVERSES PRESTATIONS DE ,Hounsa P/N LOT/ 216-Q TEL/ 20 01 13 ,PP,AMOUSSOU Déo-
552,"","",SERVICES - COMMERCE GENERAL,99,"",Gratias G
"","","",COMMERCE GENERAL ET DIVERS - DEPOT ,"","",ADJAÏ épse AKOWE 
"",RB/ PN/ 13 B 266,PHILEMON ET FILS,SOBEBRA - RESTAURATION - PRESTATION DE ,Agbokou P/N ZIP/ 2-156-N TEL/ 96 57 31 08,PP,Mahoussi Josiane 
553,"","",SERVICES - ALIMENTATION GENERALE,"","",Marie Christiane
"","","",FOURNITURES DE BUREAU - ALIMENTATION ,"","",""
"",RB P/N 13 A 209,PKS LA BENEDICTION,GENERALE - POISSONNERIE - PRODUITS ,Tokpota 1 P/N ZIP/ 3-180-H TEL/ 97 17 ,PP,SAI D. Paula
"","","",FORESTIERS - TROPICAUX - MATERIAUX DE ,56 33 ,"",""
554,"","",CONSTRUCTION - QUINCAILLERIE - PRODUITS ,"","",""
"","","",ACHAT ET VENTE DE PRODUITS HALIEUTIQUES ,"","",""
"",RB/ PN/ 13 A 303,POISSONNERIE LE BERGER,- POISSONNERIE - COMMERCE GENERAL ET ,Hounvè Adjarra M/son HOUNKPE TEL/ ,"",HOUNKPE Dohoué 
555,"","",DIVERS,97 87 51 60,PP,Agathe
"","","",COMMERCE: VENTE DE MOTOS - VENTE ,"","",""
"",RB/PN/13 A 680 DU28/11/13,PORTO PLUS +,D'HUILE A MOTEUR - PRODUITS GSM - PORTABLES  - COMMERCE GENERAL ET ,Porto-Novo Ouando ZIP/4-985-C TEL/97 98 28 92,PP,LATOUNDJI Adéola Ramatou
556,"","",DIVERS,"","",""
"",RB P/N-13-A-133,POYEL PHOTO,LABORATOIRE DE PHOTOS - COMMERCE GENERAL ET DIVERS,Oganla-Atakpamè P/N ZIP/ 1-115-O TEL/ 20 21 29 42,PP,MANGOBA Dondon C.
557,"","","","","",""
"","","",INDUSTRIE: ENTRETIEN DIVERS - ETUDES - ,"","",""
"",RB/PN/13 A 543 DU17/09/13,PRECIEUX SERVICES,BTP - MATERIELS INFORMATIQUES - PAPETERIE - SECURITE PRIVEE - MENUISERIE - ,Sèmè-Kpodji Sèmè-Okoun M/SON ADIMI TEL/ 68 32 06 65,PP,TOSSAVI Sébastienne Audrey
558,"","",PRODUITS ALIMENTAIRES - FORESTIERS - ,"","",""
"",RB P/N-13-A-099,PRECIS - TOPO,TOPOGRAPHIE - AMENAGEMENT - BTP - TRAVAUX PUBLIC ,Tokpota2 P/N LOT/ 21-O TEL/ 99220101,PP,KPAKPOVI Anani
559,"","","","","",""
"","","",PRODUITS AGRICOLES - FORESTIERS - ,"","",""
"",RB P/N-13-A-158,PROSPERITE VALLEE,ELEVAGE - PECHE - FERME AGROPASTORALE - ,Dodji P/N LOT/ 104-P TEL/ 96 84 98 89,PP,GOUTON Olivier E.
560,"","",DIVERS,"","",""
"","","",ACHAT ET VENTE DE MATERIELS ,"","",ANIHOUVI Germaine 
"",RB/ PN/ 13 A 273,PROVIDENCE DIVINE,INFORMATIQUES - BUREAUTIQUE - ,Kandévié-Owodé P/N ZIP/ 3-247-t TEL/ ,PP,Prisque Rose 
"","","",CONSOMMABLES INFORMATIQUES - SERVICE ,97 03 72 75,"",""
561,"","",TRAITEUR - PRESTATIONS DE SERVICES - ,"","",Sonagnon
562,RB/PN/ 13 A 224,QUICK SERVICE,"RESTAURATION - PRESTATIONS DE SERVICES -PRODUITS AGRICOLES - FORESTIERS - BTP - BUREAUTIQUE - TRANSPORT - DIVERSS","Odanyogoun SAKETE C/SB TEL/ 95 71 20 00",PP
563,"RB/PN/13 A 460 DU24/07/13",R.MA.TA.SA BENIN,"SERVICE: MATELASSIER - ELEVAGE - PRODUITS FORESTIERS - PRET-A-PORTER - ALIMENTATION GENERALE - COMMERCE GENERAL ET DIVERS","Akpro-Missérété Azohouè LOT/241-E TEL/97 28 05 60",PP
564,"RB/PN/13 A 501 DU27/08/13",R.P.A. ET DIVERS,"COMMERCE: REVENDEUR DES PRODUITS AGROALIMENTAIRES - MATERIELS ELECTRONIQUES ET ELECTRIQUES - BTP - LOCATION DE TABLES - CHAISES ET BACHES -","Sèmè-Kpodji Podji-Agué LOT/2007 TEL/ 97 68 71 76",PP
565,"RB/PN/13 A 660 DU20/11/13","RAHAMA IBUKUN OLUWA CENTER","COMMERCE: ACHAT ET VENTE DE TEXTILES - PRODUITS AGRICOLES ET FORESTIERS - QUINCAILLERIE - PRODUITS COSMETIQUES - ALIMENTATION GENERALE - PRODUITS","Porto-Novo Dowa LOT/1675-K TEL/97 78 00 74",PP
566,"RB/POB/13 A 023 DU23/04/1",RAM ET FILS,"COMMERCE: QUINCAILLERIE GENERALE - VENDEUR DU RIZ - PRODUITS FORESTIERS  ET VIVRIERS - PRODUITS SOBEBRA - BUVETTE - COMMERCE GENERAL ET DIVERS","Pobé Oké-Ola M/son AYELEROU TEL/ 95274665/96484826",PP
567,RB/ PN/ 13 A 286,RAMCES ET FILS,"BTP - ASSAINISSEMENT - PRESTATIONS DE SERVICES - ACHAT ET VENTE DE FOURNITURES DE BUREAU - PRODUITS TROPICAUX - HOTELLERIE - AGENCE DE","Dèguè Sakété M/son BAMIGBOTCHE TEL/ 97 14 47 15",PP
568,"RB/PN/13 A 471 DU06/08/13",REGARD D'AMOUR PLUS,"SERVICE: AUDIOVISUEL ET COMMUNICATION - BTP - DECORATION - FOURNITURES DE BUREAU ET PRODUITS INFORMATIQUES - HOTELLERIE - TOURISME - PRODUITS","Porto-Novo Kandévié-Owodé  ZIP: 3-97-D TEL/ 97 62 53 83",PP
569,"RB/PN/13 A 423 DU01/07/13",RENTABLE-BENIN,"COMMERCE: QUINCAILLERIE GENERALE - PRODUITS FORESTIERS - AGRICOLES - TROPICAUX ET ALIMENTAIRES - DEPOT DE CIMENT ET SOBEBRA - LOCATION DE BACHES","Akpro-Missérété Gouako-Kotoclomè M/SON KOUADOUA TEL/ 97 49 30 77",PP
570,RB/ PN/ 13 A 281,RESEAU E-VDI-NOVICIC,"TELECOMMUNICATION - INFORMATIQUE - ELECTRICITE BATIMENTS - COMMERCE GENERAL ET DIVERS",Catchi P/N zip/ 3-43-D TEL/ 95 25 84 26,PP
571,"RB/PN/13 A 390 DU12/06/13",ROUTE,"INDUSTRIE: TOPOGRAPHIE - GENIE CIVIL - ASSAINISSEMENT - ENTRETIEN DES ESPACES VERTS - PAVAGE","Porto-Novo Ouenlinda1 LOT/101 TEL/ 97 19 55 53",PP
572,RB P/N-13-A-134,ROXIA - CORPORATION,"BUREAUTIQUE - INFORMATIQUE - ALIMENTATION GENERALE - PRODUITS COSMETIQUES - MATERIAUX DE CONSTRUCTION - BTP - OUVRAGES EN BOIS -",Houinta P/N C/SB TEL/ 97 85 31 60,PP
"","","",COMMERCE: VENTE DE FOURNITURES  - ,"","",""
"",RB/PN/13 A 677 DU26/11/13,S O M O,BUREAUTIQUES - SCOLAIRES - PREPARATIONS DE TROUSSEAUX - PAGNES - TENUES ,Porto-Novo Djilado LOT/294-f TEL/97 55 00 47,PP,SOGLO Moriane Togniwannoumi
574,"","",FRANCAISES - CHAUSSURES - PRESTATIONS ,"","",""
"","","",QUINCAILLERIE - PRODUITS FORESTIERS - ,"","",""
"",RB P/N 13-A-226,S. M. OKESON,VENTE DE CIMENT - POISSONNERIE - ,"",PP,KOUKPO Sondé 
"","","",ALIMENTATION GENERALE - MATERIAUX DE ,"","",Mathieu
575,"","",CONSTRUCTION - DIVERS,"","",""
"","","",ASSISTANCE EN GESTION DES ENTREPRISES ,"","",""
"",RB P/N-13-A-058,SADATO GROUP,"(COMPTABILITE, CONTROLEAUDIT) - ",Ekpè2 S/KPODJI LOT/ 81 TEL/ 97 17 90 ,PP,ADECHIAN Sadath
"","","",FOURNITURES DE BUREAU ET ,28,"",""
576,"","",CONSOMMABLES INFORMATIQUES - ,"","",""
"",RB/PN/13 A 633 DU05/11/13,SAFI ET FILS,COMMERCE: VENTE DE PIECES DETACHEES DIESEL - TRANSPORT - VENTE DE GAZ ORYX - ,Porto-Novo Foun-Foun Sodji LOT/2 ,PP,SAÏZONOU Chanou 
577,"","",COMMERCE GENERAL ET DIVERS,M/SON SAÏZONOU TEL/97323397,"",Lambert
"","","",IMPRIMERIE - SERIGRAPHIE - TYPO OFFSET ,"","",""
"",RB P/N-13-A-014,SAINT ALBERT LE GRAND,FABRICATION DE CACHETS - BUREAUTIQUE - ,Danto A/MISSERETE C/SB TEL/ 97 74 75 ,PP,QUENUM A. ALBERT
578,"","",SAISIE - DIVERS,60,"",""
"","","",COMMERCE: ACHAT ET VENTE DE MATERIAUX ,"","",""
"",RB/PN/13 A 369 ,"","","","",""
"",DU03/06/13,SAINT GLORIA ET FILS,DE CONSTRUCTION - QUINCAILLERIE - PEINTURES ET ARTICLES - DIVERSES ,Bonou Affamè-Bonou C/SB TEL/ 97 53 86 29,PP,SODJINOU Zannou Yétonvè
579,"","",MARCHANDISES - DIVERSES PRESTATIONS DE ,"","",""
"","","",COMMERCE: POISSONNERIE - PIECES ,"","",""
"",RB/PN/13 A 507 ,"","","","",""
"",DU28/08/13,SAINT JACQUES ET FILS,DETACHEES - BUVETTE - DEPOT SOBEBRA - LAVAGE - LOCATION CHAISES ET BACHES - ,Sèmè-Kpodji Kraké-Glogbo LOT/0054 TEL/97491639,PP,GBESSEMEHLAN Amoukon Moïse
580,"","",PRODUITS AGRICOLES - MOTOS - COMMERCE ,"","",""
"","","",COMMERCE: MATERIAUX DE PLOMBERIE - ,"","",""
"",RB/PN/13 A 566 DU27/09/13,SAINT JEAN,QUINCAILLERIE GENERALE - INSTALLATION SANITAIRE ET DEPANNAGE - COMMERCE ,Porto-Novo Kandévié3 LOT: 82-b TEL/ 97 68 96 57,PP,GOUHINTO Sènakpon Jean
581,"","",GENERAL ET DIVERS,"","",""
"","","",COMMERCE: AUTO-ECOLE - PRESSING - PRET-,"","",""
"",RB/PN/13 A 465 DU26/07/13,SAINT-CAMILLE & FILS,A-PORTER - DEPOT SOBEBRA - BAR-RESTAURANT - COMMERCE GENERAL ET ,Porto-Novo Kandévié-Zoungbomè LOT/81 TEL/ 97 76 23 54,PP,KOKO Gbètoho Camille
582,"","",DIVERS,"","",""
"","","",COMMERCE: COMMERCIALISATION DES ,"","",""
"",RB/PN/13 A 613 DU23/10/13,SAINT-CHRIST,PRODUITS CEREALIERS - QUINCAILLERIE - BTP - ACHAT ET VENTE DES PRODUITS ,Porto-Novo TokpotaI ZIP/4-127-G TEL/ 97 90 46 49,PP,KPOTON Zanmènou Salomon
583,"","",FORESTIERS ET TROPICAUX - TRANSPORT-,"","",""
"","","",SERVICE: DIVERSES PRESTATIONS DE ,"","",""
"",RB/POB/13 A 046 ,SAINTE GENEVIEVE DU 04 ,SERVICES - PRODUITS FORESTIERS - BTP - ,Pobè-Nord M/SON GBAGBOLA Antoine ,"",DASSEYA Comlan 
"",DU12/08/1,NOVEMBRE 2011,ASSISTANCE FISCALE - COMMERCE GENERAL ,TEL/ 97 12 90 93/95 06 19 51,PP,Benoît
584,"","",ET DIVERS,"","",""
"","","",COMMERCE: VENTE DE BIJOUX - TEXTILES - ,"","",""
"",RB/PN/13 A 526 DU04/09/13,SALAM ET FILS,CHAUSSURES - SACS - QUINCAILLERIE - BUREAUTIQUE - INFORMATIQUE - COMMERCE ,Porto-Novo Adjégounlè C/SB M/SON BAKARI TEL/ 67 56 99 91,PP,BAKARI Djamal-Dine
585,"","",GENERAL ET DIVERS,"","",""
"","","",COMMERCE: PRODUITS AGROALIMENTAIRES - ,"","",""
"",RB/PN/13 A 437 DU12/07/13,SALMARIE ET FILS,FORESTIERS - VENTE DE MACHINES D'IMPRIMERIE D'OCCASION - PIECES ,Adjarra Kpadovié C/SB M/SON KPESSOU TEL/ 97 67 45 11,PP,KPESSOU Rémy
586,"","",DETACHEES - MATERIELS INFORMATIQUES - ,"","",""
"","","",COMMERCE: IMPORTATION DE PRODUITS ,"","",""
"",RB/PN/13 B 224 ,"","","","",""
"",DU22/03/13,SALVE REGINA & SON'S,AGROINDUSTRIELS ET ALIMENTAIRES - TEXTILES - PRODUITS COSMETIQUES - ,Porto-Novo Tokpota2 M/SON NOUATIN TEL/ 97 97 79 19 ,PM,NOUATIN Baï Edwige Joliane
587,"","",FRIPERIE - BUREAUTIQUE - NTIC - NEGOCE ,"","",""
"","","",COSMETIQUES - ALIMENTATION GENERALE - ,"","",""
"",RB P/N-13-A-081,SAM - KOUDOUSS,VENTE DE CHAUSSURES - SACS - MECHES - ,Sota Djèssoukô ADJARRA LOT/ 183-A ,"",""
"","","",BOISSONS - MATERIAUX DE CONSTRUCTION - ,TEL/ 97 17 76 10,PP,SALAMI Koudouss
588,"","",BTP - PRESTATIONS DE SERVICES,"","",""
"","","",COMMERCE: QUINCAILLERIE GENERALE - ,"","",""
"",RB/PN/13 A 489 ,"","","","",""
"",DU20/08/13,SAM YEMALIN ET FILS,CIMENT - PRODUITS FORESTIERS - ALIMENTATION GENERALE - MENUISERIE - ,IFANGNI Kétoukpè M/SON GNONLONFOUN TEL/ 97 48 23 87,PP,GNONLONFOUN Yémalin
589,"","",COMMERCE GENERAL ET DIVERS ,"","",""
"","","",INDUSTRIE: BTP - ASSAINISSEMENT - ,"","",""
"",RB/PN/13 A 310 ,"","","","",""
"",DU24/04/13,SAM-NELLY,MAINTENANCE INFORMATIQUE - FOURNITURES DE BUREAU - LOCATION ENGINS LOURDS - ,Akpro-Missérété Akpro-centre M/SON MIDNIGANDO TEL/ 97891726,PP,MIGNIGANDO TchédjiSamson
590,"","",DIVERSES PRESTATIONS - COMMERCE ,"","",""
"","","",MATERIAUX DE CONSTRUCTION - GROUPE ,"","",""
"",RB/ PN/ 13 A 250,SAMAD GROUP,ELECTROGENE - ARMOIRE ELECTRIQUE - ,Gbékouè P/N LOT/ 2322-7B TEL/ 97 01 ,PP,SEÏDOU Adéniyi
"","","",CARRELAGE - VENTE DE PRODUITS ,77 65,"",""
591,"","",AGRICOLES - PRESTATIONS DE SERVICES,"","",""
"","","",IMPORTATION DE VEHICULES AUTOMOBILES ,"","",""
"",RB P/N-12-B-1068,SAN-AMID,D'OCCASION - PRODUITS ALIMENTAIRES - ,Hounvié P/N ZIP/ 3-241-B TEL/ 97 60 05 ,PM,SANOUSSI Amidou
"","","",AGROALIMENTAIRES - PNEUMATIQUE - ,04,"",""
592,"","",TRANSPORT - QUINCAILLERIE,"","",""
"",RB/POB/13 A 044 DU07/08/1,SANA VETS,COMMERCE: VENTE DE PRODUITS VETERINAIRES - COMMERCE GENERAL ET ,KETOU Massafè C/SB BP: 98 TEL/ 95 74 71 50,PP,FADAÏRO Marcel Alain Hugues
593,"","",DIVERS,"","",""
"","","",ASSAINISSEMENT - ENTRETIEN - ,"","",""
"",RB/PN/ 13 A 238,SANG NEUF,FOURNITURES DE BUREAU - COMMUNICATION -,Missérété-centre C/SB TEL/ 96 19 17 61,PP,AHOUANSOU E. 
"","","",PUBLICATION - VENTE DE MATERIELS ,"","",Yèyinou
594,"","",INFORMATIQUES - DIVERS,"","",""
"","","",COMMERCE: IMPORTATION DE VEHICULES ,"","",""
"",RB/PN/13 B 265 ,SANOUSS TRADING OF ,D'OCCASION - ENGINS NEUFS ET MOTOS ,Porto-Novo Tokpota1 M/SON SANOUSSI ,"",SANOUSSI Kafilh 
"",DU06/05/13,AFRICA,NEUVES - PNEUMATIQUE - PIECES DETACHEES ,TEL/ 97 45 38 74,PM,Koladé
595,"","",- DEPOT DE CIMENT - LOCATION DE ,"","",""
"","","",PRODUITS AGRICOLES - COSMETIQUES - ,"","",""
"",RB P/N-13-A-059,SARAKI JUNIOR ET FILS,SOBEBRA - BUREAUTIQUE - QUINCAILLERIE - ,Guévié-Djèganto P/N LOT/ 522-B TEL/ 97 ,PP,LASSISSI Saliou
"","","",ALIMENTATION GENERALE - RESTAURATION - ,77 44 96,"",""
596,"","",DIVERS,"","",""
"","","",BTP - BUREAUTIQUE - CONSOMMABLES ,"","",""
"",RB P/N-13-A-103,SASIB - TP,INFORMATIQUES - QUINCAILLERIE - ,Dowa P/N ZIP/ 4-425-A TEL/ 97 71 09 48,PP,SAVOEDA N. Simon
597,"","",ALIMENTATION GENERALE,"","",""
"","","",COMMERCE: LOCATION DE VEHICULES - ,"","",""
"",RB/PN/13 A 557 ,"",CHAISES ET BACHES - COMMUNICATION - BTP - ,Porto-Novo Ouenlinda II M/SON ,"",SOSSOU Oluwo 
"",DU23/09/13,SAT ET FILS,NTIC - DISTRIBUTION - FORMATION - ,GNONLONFOUN TEL/ 97 99 17 53,PP,Boniface
598,"","",RESTAURATION - PIECES DETACHEES - ,"","",""
"",RB/PN/13 A 327 ,SAVOIR ET ,SERVICE: DIVERSES PRESTATIONS DE ,Sèmè-Kpodji Sèyivè LOT/ 1-TF96 05 BP ,"",DOHOU Clémentine 
"",DU06/05/13,COMPETENCES+,SERVICES - COMMERCE GENERAL,352 Cot. TEL/ 95 96 97 95,PP,Sabine Louise 
599,"","","","","",Omontayo
"","","",COMMERCE: ACHAT ET VENTE DE MATERIAUX ,"","",""
"",RB/PN/13 A 325 DU06/05/13,SAYI ET FILS,DE CONSTRUCTION - QUINACILLERIE - PEINTURES ET ARTICLES - ACHAT ET VENTE ,Porto-Novo Houinmè-Djaguidi LOT/ 892-d TEL/ 96 12 72 00,PP,SAÏZONOU Malick Cédrac
600,"","",DE MOTOS - PIECES DETACHEES - BTP - ,"","",""
"","","",ACHAT ET VENTE DE MATERIELS ,"","",""
"",RB/PN/13 A 404 DU20/06/13,SCOJEST,INFORMATIQUES - BUREAUTIQUE - MOBILIERS ET IMPRIMES ADMINISTRATIFS - COMMERCE ,Porto-Novo Kandévié3 LOT/2-69-L TEL/ 97 57 16 02,PP,LASSISSI Razaqui
601,"","",GENERAL ET DIVERS,"","",""
"","","",COMMERCE: ACHAT ET VENTE DE MOTOS - DE ,"","",""
"",RB/PN/13 A 552 DU19/09/13,SE BI O TI MO ET FILS,MACHINES A COUDRE - QUINCAILLERIE - PIECES DETACHEES - BTP - PRODUITS ,Sèmè-Kpodji Yagbé C/SB M/SON AKPOE TEL/ 96 51 42 17,PP,IBITOKOUN Olabodé
602,"","",AGRICOLES ET FORESTIERS - DEPOT ET DEBIT ,"","",""
"","","",COMMERCE: REVENDEURS DE VOITURES ,"","",""
"",RB/PN/13 A 476 DU07/08/13,SE.MAX,D'OCCASION - PIECES DETACHEES AUTO-MOTOS - QUINCAILLERIE - PRODUITS AGRO-,Sèmè-Kpodji Kraké-Glogbo M/SON SEMAKO TEL/ 97 87 46 32,PP,SEMAKO Satidé Maxime
603,"","",ALIMENTAIRES - INDUSTRIELS - AGRICOLES ET ,"","",""
"","","",INDUSTRIE: AMENAGEMENT - HYDRO-,"","",""
"",RB/PN/13 A 360 ,"","","","",""
"",DU24/05/13,SEDAMINOU GROUP,AGRICOLE - BATIMENTS ET TRAVAUX PUBLICS -AGRICULTURE - RESTAURATION - COMMERCE ,Porto-Novo Guèvié-Djèganto LOT/ 2-29-BQ TEL/ 96 16 42 02,PP,AHOUSSINOU FifamèVictoire
604,"","",GENRAL ET DIVERS,"","",""
"","","",ACHAT ET VENTE DE MATERIAUX DE ,"","",""
"",RB/ PN/ 13 A 258,SEDAR ET FILS,CONSTRUCTION - QUINCAILLERIE - PEINTURE ,Foun-Foun Tokpa P/N LOT/650 M/SON ,PP,SEÏDOU Daouda
"","","",ET ARTICLES - VENTE DE CIMENT - PRODUITS ,SEÏDOU TEL/ 97 09 99 94,"",""
605,"","",FORESTIERS - VIVRIERS - MATERIELS ,"","",""
"","","",MATERIELS INFORMATIQUES ET ,"","",""
"",RB P/N-13-A-124,SEDJRO JM,ACCESSOIRES - MATERIELS ET MOBILIERS DE ,Djègan-kpèvi P/N ZIP/ 3-467-C TEL/ 97 ,PP,ABOLA  Mariama
"","","",BUREAU - PRODUITS FORESTIERS - APPAREILS ,58 38 55,"",""
606,"","",ELECTROMENAGERS ET ELECTRONIQUES - ,"","",""
"","","",INDUSTRIE: PATISSERIE ET BOULANGERIE - ,"","",""
"",RB/PN/13 A 431 DU08/07/13,SEDO-MAHOUTON,FABRIQUE DE GLACE - ALIMENTATION GENERALE - QUINCAILLERIE - PRESTATIONS ,Porto-Novo Guévié LOT/278-M TEL/ 97 47 17 61,PP,ALOHOUTADE Sèdogbo
607,"","",DIVERSES - PRODUITS FORESTIERS - ,"","",""
"","","",SERVICE: TRANSPORT - ELEVAGE - ,"","",""
"",RB/PN/13 A 571 ,"","","","",""
